排名,cities,pop,GDP,GDP_Average,GDP_Avrg(Dollar),lon,lat
1,重庆市,2884.62,7894.24,27367,4043,106.504959,29.533155
2,上海市,2301.91,16872.42,73297,10828,121.472641,31.231707
3,北京市,1961.24,13777.9,70251,10378,116.405289,39.904987
4,成都市,1404.76,5551.3,39518,5838,104.065735,30.659462
5,天津市,1293.82,9108.83,70402,10400,117.190186,39.125595
6,广州市,1270.08,10604.48,83495,12334,113.28064,23.125177
7,保定市,1119.44,2050.3,18315,2706,115.48233,38.867657
8,哈尔滨市,1063.6,3665.9,34467,5092,126.642464,45.756966
9,苏州市,1046.6,9000,85993,12703,120.619583,31.299379
10,深圳市,1035.79,9510.91,91822,13564,114.085945,22.547001
11,南阳市,1026.3,1955.84,19057,2815,112.540916,32.999081
12,石家庄市,1016.38,3401,33462,4943,114.502464,38.045475
13,临沂市,1003.94,2400,23906,3531,118.326447,35.065281
14,武汉市,978.54,5515.76,56367,8327,114.298569,30.584354
15,邯郸市,917.47,2342.2,25529,3771,114.490685,36.612274
16,温州市,912.21,2925.57,32071,4738,120.672112,28.000574
17,潍坊市,908.62,3090.9,34018,5025,119.107079,36.709251
18,周口市,895.32,1227.9,13715,2026,114.649651,33.620358
19,青岛市,871.51,5666.19,65016,9604,120.355171,36.082981
20,杭州市,870.04,5945.82,68340,10095,120.15358,30.287458
21,郑州市,862.65,4000,46369,6850,113.665413,34.757977
22,徐州市,858.05,2866.93,33412,4936,117.184814,34.261791
23,西安市,846.78,3241.49,38280,5655,108.948021,34.263161
24,赣州市,836.84,1119.47,13377,1976,114.940277,25.850969
25,菏泽市,828.78,1151.58,13895,2053,115.469383,35.246532
26,东莞市,822.02,4246.25,51656,7631,113.746262,23.046238
27,泉州市,812.85,3564.76,43855,6478,118.589424,24.908854
28,沈阳市,810.62,5017,61891,9143,123.429092,41.796768
29,济宁市,808.19,2542.8,31463,4648,116.587242,35.415394
30,南京市,800.47,5010.36,62593,9246,118.76741,32.041546
31,长春市,767.71,3369.7,43893,6484,125.324501,43.886841
